127.0.0.1 - - [14/Jun/2023:09:07:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:48 +0900] "GET /fin/ HTTP/1.1" 200 9923
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:48 +0900] "GET /fin/resources/css/global.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:48 +0900] "GET /fin/resources/css/loader.css HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:55 +0900] "GET /fin/resources/css/main.css HTTP/1.1" 200 8747
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:55 +0900] "GET /fin/resources/js/header.js HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:55 +0900] "GET /fin/resources/css/header.css HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:56 +0900] "GET /fin/main HTTP/1.1" 200 85849
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:56 +0900] "GET /fin/resources/js/chatRoomList.js HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:56 +0900] "GET /fin/resources/js/footer.js HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:56 +0900] "GET /fin/resources/css/footer.css HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:56 +0900] "GET /fin/resources/js/main.js HTTP/1.1" 200 8904
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:07:56 +0900] "GET /fin/resources/images/guitarduck.png HTTP/1.1" 200 611135
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:13 +0900] "GET /fin/main HTTP/1.1" 200 85849
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:13 +0900] "GET /fin/resources/css/global.css HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:13 +0900] "GET /fin/resources/css/main.css HTTP/1.1" 200 8747
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:13 +0900] "GET /fin/resources/js/header.js HTTP/1.1" 200 4281
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:13 +0900] "GET /fin/resources/css/header.css HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:14 +0900] "GET /fin/resources/js/main.js HTTP/1.1" 200 8904
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:14 +0900] "GET /fin/resources/css/footer.css HTTP/1.1" 200 2492
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:14 +0900] "GET /fin/resources/js/chatRoomList.js HTTP/1.1" 200 9243
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:14 +0900] "GET /fin/resources/js/footer.js HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:14 +0900] "GET /fin/resources/images/guitarduck.png HTTP/1.1" 200 611135
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:15 +0900] "GET /fin/used HTTP/1.1" 200 18362
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:16 +0900] "GET /fin/resources/css/usedMain.css HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [14/Jun/2023:09:08:16 +0900] "GET /fin/resources/images/guitar.jpg HTTP/1.1" 200 159230
