127.0.0.1 - - [07/Jul/2023:12:12:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:20 +0900] "GET /fin/ HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:20 +0900] "GET /fin/resources/css/loader.css HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:22 +0900] "GET /fin/resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:22 +0900] "GET /fin/resources/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:22 +0900] "GET /fin/main HTTP/1.1" 200 96977
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:22 +0900] "GET /fin/resources/js/newChatRoom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:25 +0900] "GET /fin/login HTTP/1.1" 200 37226
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:25 +0900] "GET /fin/resources/js/naverLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:25 +0900] "GET /fin/resources/js/kakaoLogin.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:39 +0900] "POST /fin/fin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:39 +0900] "GET /fin/main HTTP/1.1" 200 100656
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:39 +0900] "GET /fin/emailDupCheck?userEmail=jinijnleelee%40gmail.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:40 +0900] "GET /fin/getUserNo HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:40 +0900] "POST /fin/checkRoom HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:40 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:40 +0900] "GET /fin/getUserNicks?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:41 +0900] "GET /fin/totalAlarmGet?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:41 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:41 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:41 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=161 HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:41 +0900] "GET /fin/getAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:12:41 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:09 +0900] "GET /fin/board HTTP/1.1" 200 59359
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:09 +0900] "GET /fin/getUserNo HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:10 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:10 +0900] "GET /fin/totalAlarmGet?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:10 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:10 +0900] "GET /fin/getUserNicks?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:10 +0900] "GET /fin/getAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:10 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:10 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=161 HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:10 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:10 +0900] "POST /fin/checkRoom HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:25 +0900] "GET /fin/boardWrite HTTP/1.1" 200 23598
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:25 +0900] "GET /fin/resources/js/boardWrite.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:25 +0900] "GET /fin/getUserNo HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:26 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:26 +0900] "GET /fin/getAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:26 +0900] "GET /fin/totalAlarmGet?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:26 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:26 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:26 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=161 HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:26 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:26 +0900] "GET /fin/getUserNicks?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:34 +0900] "POST /fin/boardWrite HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:34 +0900] "GET /fin/board HTTP/1.1" 200 59585
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:36 +0900] "GET /fin/getUserNo HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:36 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:36 +0900] "GET /fin/getUserNicks?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:36 +0900] "GET /fin/getAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:36 +0900] "GET /fin/totalAlarmGet?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:36 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:37 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=161 HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:37 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:37 +0900] "POST /fin/checkRoom HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:37 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:43 +0900] "GET /fin/boardDetail?boardNo=425&loginUserNo=161 HTTP/1.1" 200 64522
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:43 +0900] "GET /fin/resources/css/boardDetail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:43 +0900] "GET /fin/getUserNo HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:43 +0900] "GET /fin/getUserNicks?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:43 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:43 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:43 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=161 HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:44 +0900] "GET /fin/getAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:44 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:44 +0900] "GET /fin/totalAlarmGet?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:44 +0900] "POST /fin/checkRoom HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:44 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:47 +0900] "GET /fin/board HTTP/1.1" 200 59319
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:48 +0900] "POST /fin/checkRoom HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:53 +0900] "POST /fin/report HTTP/1.1" 200 47203
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:55 +0900] "GET /fin/board HTTP/1.1" 200 59475
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:55 +0900] "GET /fin/getUserNo HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:55 +0900] "GET /fin/totalAlarmGet?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:55 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:55 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:55 +0900] "GET /fin/getUserNicks?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:55 +0900] "GET /fin/getAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:56 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:56 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=161 HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:56 +0900] "POST /fin/checkRoom HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:13:56 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/checkPw HTTP/1.1" 200 26123
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/resources/js/checkPw.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/getUserNo HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/getUserNicks?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/getAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/totalAlarmGet?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=161 HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:01 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:05 +0900] "POST /fin/fin/checkPw HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:07 +0900] "GET /fin/resources/css/myPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:07 +0900] "GET /fin/myPage HTTP/1.1" 200 66101
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:08 +0900] "GET /fin/getUserNo HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:08 +0900] "GET /fin/totalAlarmGet?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:08 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:08 +0900] "GET /fin/getAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:08 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=161 HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:08 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:08 +0900] "GET /fin/getUserNicks?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:08 +0900] "POST /fin/checkRoom HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:08 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:09 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:12 +0900] "GET /fin/board HTTP/1.1" 200 59479
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:13 +0900] "GET /fin/getUserNo HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:13 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:13 +0900] "GET /fin/getUserNicks?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:13 +0900] "GET /fin/getAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:13 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:13 +0900] "GET /fin/totalAlarmGet?loginUserNo=161 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:14 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=161 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:14 +0900] "POST /fin/checkRoom HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:14 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=161 HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:14 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:29 +0900] "GET /fin/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:30 +0900] "GET /fin/main HTTP/1.1" 200 96977
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:31 +0900] "GET /fin/login HTTP/1.1" 200 37226
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:32 +0900] "GET /fin/resources/js/kakaoLogin.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:33 +0900] "GET /fin/emailDupCheck?userEmail=jinijnleelee%40gmail.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:47 +0900] "POST /fin/fin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:47 +0900] "GET /fin/login HTTP/1.1" 200 37270
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:47 +0900] "GET /fin/resources/js/kakaoLogin.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:49 +0900] "GET /fin/emailDupCheck?userEmail=jinijnleelee%40gmail.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:57 +0900] "POST /fin/fin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:57 +0900] "GET /fin/main HTTP/1.1" 200 100678
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:57 +0900] "GET /fin/getUserNo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=64 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [07/Jul/2023:12:14:58 +0900] "GET /fin/getUserNicks?loginUserNo=64 HTTP/1.1" 200 6
