127.0.0.1 - - [03/Jan/2024:21:39:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:48 +0900] "GET /fin/ HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:49 +0900] "GET /fin/resources/css/loader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:49 +0900] "GET /fin/resources/css/global.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:53 +0900] "GET /fin/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:53 +0900] "GET /fin/resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:53 +0900] "GET /fin/resources/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/main HTTP/1.1" 200 96977
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/css/faq.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/js/faq.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/css/dist/newChatRoom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/js/newChatRoom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/css/footerModal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/css/footerbootStrap.css HTTP/1.1" 200 144938
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/images/chatbot-removebg-preview.png HTTP/1.1" 200 206805
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/images/guitarduck.png HTTP/1.1" 200 611135
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/js/footer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /fin/resources/js/footerModal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:39:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/login HTTP/1.1" 200 37226
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/resources/css/LoginRegister.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/resources/css/loginbootStrap.css HTTP/1.1" 200 144896
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/resources/css/loginModal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/resources/css/naverLogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/resources/js/myPageModal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/resources/images/naverIMG.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/resources/images/kakaoIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/resources/js/kakaoLogin.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/resources/js/LoginRegister.js?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:27 +0900] "GET /fin/resources/js/naverLogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:45 +0900] "POST /fin/fin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:45 +0900] "GET /fin/main HTTP/1.1" 200 100897
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:45 +0900] "GET /fin/resources/images/lesson/20231231115907_36342.png HTTP/1.1" 200 25394
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:45 +0900] "GET /fin//resources/images/lesson/20231231115907_36342.png HTTP/1.1" 200 25394
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:47 +0900] "GET /fin/getUserNo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:47 +0900] "POST /fin/checkRoom HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:48 +0900] "GET /fin/getUserNicks?loginUserNo=22 HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:48 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=22 HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:48 +0900] "GET /fin/totalAlarmGet?loginUserNo=22 HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:48 +0900] "GET /fin/getAlarmCount?loginUserNo=22 HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:48 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=22 HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:48 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=22 HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:48 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=22 HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:49 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=22 HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:54 +0900] "GET /fin/resources/css/boradMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:54 +0900] "GET /fin/resources/js/modal.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:54 +0900] "GET /fin/board HTTP/1.1" 200 52324
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:54 +0900] "GET /fin/resources/js/boardMain.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:55 +0900] "GET /fin/getUserNo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:55 +0900] "GET /fin/totalAlarmGet?loginUserNo=22 HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:55 +0900] "GET /fin/getMsgAlarmCount?loginUserNo=22 HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:55 +0900] "GET /fin/getAlarmCount?loginUserNo=22 HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:55 +0900] "GET /fin/alarmGetFromInvi?loginUserNo=22 HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:55 +0900] "GET /fin/getUserNicks?loginUserNo=22 HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:55 +0900] "GET /fin/getUserNicksFromReply?loginUserNo=22 HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:55 +0900] "GET /fin/getUserNicksFromRoom?loginUserNo=22 HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:55 +0900] "GET /fin/getUserNicksFromLike?loginUserNo=22 HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:40:56 +0900] "POST /fin/checkRoom HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:01 +0900] "GET /fin/resources/css/reply-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:01 +0900] "GET /fin/resources/css/boardDetail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:01 +0900] "GET /fin/boardDetail?boardNo=82&loginUserNo=22 HTTP/1.1" 200 60168
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:41:01 +0900] "GET /fin/resources/js/boardDetail.js HTTP/1.1" 304 -
